% Model:              nanorod_3d_placa.mph
% Version:            COMSOL 5.2.0.166
% Date:               Oct 3 2019, 14:35
% Dimension:          3
% Nodes:              484
% Expressions:        3
% Description:        Arrow volume
% X                       Y                        Z                        VectorX                  VectorY                  VectorZ
-7.999999999999999E-5     -1.600008889186661E-4    6.246160111432041E-4     0                        -1.780768862491051E-4    -1.3957022681743822E-4
0                         -1.600008889186661E-4    6.246160111432041E-4     0                        -1.782404355188013E-4    -1.3901924625597388E-4
8.00000000000001E-5       -1.600008889186661E-4    6.246160111432041E-4     0                        -1.779286638265889E-4    -1.395443550067641E-4
-1.600000000000001E-4     -8.000044445933305E-5    6.246160111432041E-4     0                        -1.8663673277155422E-4   -8.71744438812691E-5
-7.999999999999999E-5     -8.000044445933305E-5    6.246160111432041E-4     0                        -1.8699219669995982E-4   -8.641323501771975E-5
0                         -8.000044445933305E-5    6.246160111432041E-4     0                        -1.8710335732104378E-4   -8.605870289942284E-5
8.00000000000001E-5       -8.000044445933305E-5    6.246160111432041E-4     0                        -1.870214970701228E-4    -8.634400812075447E-5
1.600000000000001E-4      -8.000044445933305E-5    6.246160111432041E-4     0                        -1.86599918653279E-4     -8.709692129208033E-5
-1.600000000000001E-4     0                        6.246160111432041E-4     0                        -2.0060567144699427E-4   -3.813139918000816E-5
-7.999999999999999E-5     0                        6.246160111432041E-4     0                        -2.0063899956543078E-4   -3.7940230094798134E-5
0                         0                        6.246160111432041E-4     0                        -2.0069153335702878E-4   -3.785212961331669E-5
8.00000000000001E-5       0                        6.246160111432041E-4     0                        -2.006339758378342E-4    -3.794504169505534E-5
1.600000000000001E-4      0                        6.246160111432041E-4     0                        -2.0058322744610402E-4   -3.811928628951843E-5
-1.600000000000001E-4     8.000044445933315E-5     6.246160111432041E-4     0                        -2.189724244381852E-4    7.549181989444575E-6
-7.999999999999999E-5     8.000044445933315E-5     6.246160111432041E-4     0                        -2.1860325351870502E-4   7.263860223712878E-6
0                         8.000044445933315E-5     6.246160111432041E-4     0                        -2.1846868906635024E-4   7.2343630671935315E-6
8.00000000000001E-5       8.000044445933315E-5     6.246160111432041E-4     0                        -2.1859757733178208E-4   7.2679404250481385E-6
1.600000000000001E-4      8.000044445933315E-5     6.246160111432041E-4     0                        -2.1892670355505995E-4   7.609908213383073E-6
-7.999999999999999E-5     1.600008889186662E-4     6.246160111432041E-4     0                        -2.4049150077902517E-4   5.048855038597697E-5
0                         1.600008889186662E-4     6.246160111432041E-4     0                        -2.4030391501986422E-4   5.024301579889292E-5
8.00000000000001E-5       1.600008889186662E-4     6.246160111432041E-4     0                        -2.4051033444514295E-4   5.0448500564769406E-5
-7.999999999999999E-5     -1.600008889186661E-4    6.90365064947752E-4      0                        -2.1428845611650354E-4   -1.6141903095040033E-4
0                         -1.600008889186661E-4    6.90365064947752E-4      0                        -2.1444028036825445E-4   -1.6105555628157718E-4
8.00000000000001E-5       -1.600008889186661E-4    6.90365064947752E-4      0                        -2.1423942665865602E-4   -1.6157113972397352E-4
-1.600000000000001E-4     -8.000044445933305E-5    6.90365064947752E-4      0                        -2.2623439595602487E-4   -1.0552568076783417E-4
-7.999999999999999E-5     -8.000044445933305E-5    6.90365064947752E-4      0                        -2.266846533390902E-4    -1.0478176180318397E-4
0                         -8.000044445933305E-5    6.90365064947752E-4      0                        -2.269174210131721E-4    -1.0442519347775673E-4
8.00000000000001E-5       -8.000044445933305E-5    6.90365064947752E-4      0                        -2.2674166549714394E-4   -1.0478583911782714E-4
1.600000000000001E-4      -8.000044445933305E-5    6.90365064947752E-4      0                        -2.2623045605893308E-4   -1.0559341530680249E-4
-1.600000000000001E-4     0                        6.90365064947752E-4      0                        -2.4312385592941083E-4   -5.3011611687264775E-5
-7.999999999999999E-5     0                        6.90365064947752E-4      0                        -2.43192491164516E-4     -5.280639136452625E-5
0                         0                        6.90365064947752E-4      0                        -2.4320671173839615E-4   -5.273508803325205E-5
8.00000000000001E-5       0                        6.90365064947752E-4      0                        -2.4317610539524676E-4   -5.284254753087083E-5
1.600000000000001E-4      0                        6.90365064947752E-4      0                        -2.4311368647428328E-4   -5.294805082523013E-5
-1.600000000000001E-4     8.000044445933315E-5     6.90365064947752E-4      0                        -2.638678850840852E-4    -3.7135245497365287E-6
-7.999999999999999E-5     8.000044445933315E-5     6.90365064947752E-4      0                        -2.6348121227089827E-4   -4.057968494437948E-6
0                         8.000044445933315E-5     6.90365064947752E-4      0                        -2.634139267862998E-4    -4.14651093701945E-6
8.00000000000001E-5       8.000044445933315E-5     6.90365064947752E-4      0                        -2.6345168893097737E-4   -4.0599350516803005E-6
1.600000000000001E-4      8.000044445933315E-5     6.90365064947752E-4      0                        -2.638476925524577E-4    -3.7317613741691917E-6
-7.999999999999999E-5     1.600008889186662E-4     6.90365064947752E-4      0                        -2.8748119895477553E-4   4.263847633449313E-5
0                         1.600008889186662E-4     6.90365064947752E-4      0                        -2.872695329220418E-4    4.242141127929725E-5
8.00000000000001E-5       1.600008889186662E-4     6.90365064947752E-4      0                        -2.8756602618375715E-4   4.267522048539231E-5
-7.999999999999999E-5     -1.600008889186661E-4    7.561141187522997E-4     0                        -2.5324565991997856E-4   -1.8517860182881856E-4
0                         -1.600008889186661E-4    7.561141187522997E-4     0                        -2.536354405422976E-4    -1.8467055356744422E-4
